br_href,date_game,game_start_time,visitor_team_name,visitor_pts,home_team_name,home_pts,overtimes,attendance,playoffs,season_year
/boxscores/201510270CHI.html,2015-10-27,20:00:00,Cleveland Cavaliers,95,Chicago Bulls,97,,21957,False,2016
/boxscores/201510270ATL.html,2015-10-27,20:00:00,Detroit Pistons,106,Atlanta Hawks,94,,19187,False,2016
/boxscores/201510270GSW.html,2015-10-27,22:30:00,New Orleans Pelicans,95,Golden State Warriors,111,,19596,False,2016
/boxscores/201510280ORL.html,2015-10-28,19:00:00,Washington Wizards,88,Orlando Magic,87,,18846,False,2016
/boxscores/201510280BOS.html,2015-10-28,19:30:00,Philadelphia 76ers,95,Boston Celtics,112,,18624,False,2016
/boxscores/201510280BRK.html,2015-10-28,19:30:00,Chicago Bulls,115,Brooklyn Nets,100,,17732,False,2016
/boxscores/201510280DET.html,2015-10-28,19:30:00,Utah Jazz,87,Detroit Pistons,92,,18434,False,2016
/boxscores/201510280TOR.html,2015-10-28,19:30:00,Indiana Pacers,99,Toronto Raptors,106,,19800,False,2016
/boxscores/201510280MIA.html,2015-10-28,19:30:00,Charlotte Hornets,94,Miami Heat,104,,19724,False,2016
/boxscores/201510280MIL.html,2015-10-28,20:00:00,New York Knicks,122,Milwaukee Bucks,97,,18717,False,2016
/boxscores/201510280OKC.html,2015-10-28,20:00:00,San Antonio Spurs,106,Oklahoma City Thunder,112,,18203,False,2016
/boxscores/201510280MEM.html,2015-10-28,20:00:00,Cleveland Cavaliers,106,Memphis Grizzlies,76,,18119,False,2016
/boxscores/201510280HOU.html,2015-10-28,20:00:00,Denver Nuggets,105,Houston Rockets,85,,18240,False,2016
/boxscores/201510280PHO.html,2015-10-28,22:00:00,Dallas Mavericks,111,Phoenix Suns,95,,18055,False,2016
/boxscores/201510280POR.html,2015-10-28,22:00:00,New Orleans Pelicans,94,Portland Trail Blazers,112,,19393,False,2016
/boxscores/201510280SAC.html,2015-10-28,22:00:00,Los Angeles Clippers,111,Sacramento Kings,104,,17458,False,2016
/boxscores/201510280LAL.html,2015-10-28,22:30:00,Minnesota Timberwolves,112,Los Angeles Lakers,111,,18997,False,2016
/boxscores/201510290IND.html,2015-10-29,19:00:00,Memphis Grizzlies,112,Indiana Pacers,103,,18165,False,2016
/boxscores/201510290NYK.html,2015-10-29,20:00:00,Atlanta Hawks,112,New York Knicks,101,,19812,False,2016
/boxscores/201510290LAC.html,2015-10-29,22:30:00,Dallas Mavericks,88,Los Angeles Clippers,104,,19218,False,2016
/boxscores/201510300CLE.html,2015-10-30,19:00:00,Miami Heat,92,Cleveland Cavaliers,102,,20562,False,2016
/boxscores/201510300PHI.html,2015-10-30,19:00:00,Utah Jazz,99,Philadelphia 76ers,71,,17122,False,2016
/boxscores/201510300ORL.html,2015-10-30,19:00:00,Oklahoma City Thunder,139,Orlando Magic,136,2OT,18846,False,2016
/boxscores/201510300BOS.html,2015-10-30,19:30:00,Toronto Raptors,113,Boston Celtics,103,,16898,False,2016
/boxscores/201510300DET.html,2015-10-30,19:30:00,Chicago Bulls,94,Detroit Pistons,98,OT,16035,False,2016
/boxscores/201510300ATL.html,2015-10-30,20:00:00,Charlotte Hornets,94,Atlanta Hawks,97,,17024,False,2016
/boxscores/201510300MIL.html,2015-10-30,20:00:00,Washington Wizards,118,Milwaukee Bucks,113,,13858,False,2016
/boxscores/201510300SAS.html,2015-10-30,20:30:00,Brooklyn Nets,75,San Antonio Spurs,102,,18418,False,2016
/boxscores/201510300DEN.html,2015-10-30,21:00:00,Minnesota Timberwolves,95,Denver Nuggets,78,,17660,False,2016
/boxscores/201510300HOU.html,2015-10-30,21:30:00,Golden State Warriors,112,Houston Rockets,92,,18142,False,2016
/boxscores/201510300SAC.html,2015-10-30,22:00:00,Los Angeles Lakers,114,Sacramento Kings,132,,17391,False,2016
/boxscores/201510300PHO.html,2015-10-30,22:30:00,Portland Trail Blazers,92,Phoenix Suns,110,,18055,False,2016
/boxscores/201510310IND.html,2015-10-31,19:00:00,Utah Jazz,97,Indiana Pacers,76,,14412,False,2016
/boxscores/201510310WAS.html,2015-10-31,19:00:00,New York Knicks,117,Washington Wizards,110,,20356,False,2016
