,date,home,away,home_score,away_score,ou_open,ou_close,home_ml,away_ml,spread_open,spread_close
0,2018-10-10 00:00:00,Boston Celtics,Philadelphia 76ers,105,87,208.5,211.5,-200,170,5.0,4.5
1,2018-10-10 00:00:00,Golden State Warriors,Oklahoma City Thunder,108,100,223.5,220.5,-1100,711,11.5,12.0
2,2018-10-10 00:00:00,Indiana Pacers,Memphis Grizzlies,111,83,209.0,204.5,-325,263,7.0,7.5
3,2018-10-10 00:00:00,Charlotte Hornets,Milwaukee Bucks,112,113,217.0,222.0,144,-165,1.5,3.0
4,2018-10-10 00:00:00,Orlando Magic,Miami Heat,104,101,210.5,208.0,115,-135,2.0,2.5
5,2018-10-10 00:00:00,Detroit Pistons,Brooklyn Nets,103,100,212.0,213.0,-255,211,4.5,6.0
6,2018-10-10 00:00:00,New York Knicks,Atlanta Hawks,126,107,213.5,216.5,-170,148,3.5,4.0
7,2018-10-10 00:00:00,Toronto Raptors,Cleveland Cavaliers,116,104,214.0,215.5,-1300,797,11.5,12.5
8,2018-10-10 00:00:00,Houston Rockets,New Orleans Pelicans,112,131,229.5,233.0,-345,278,7.5,8.0
9,2018-10-10 00:00:00,San Antonio Spurs,Minnesota Timberwolves,112,108,210.5,212.0,-145,125,1.0,2.5
10,2018-10-10 00:00:00,Sacramento Kings,Utah Jazz,117,123,208.0,205.5,317,-400,7.5,8.5
11,2018-10-10 00:00:00,Phoenix Suns,Dallas Mavericks,121,100,215.0,212.5,110,-130,1.0,2.5
12,2018-10-10 00:00:00,Los Angeles Clippers,Denver Nuggets,98,107,227.0,222.5,105,-125,0,2.0
13,2018-10-10 00:00:00,Philadelphia 76ers,Chicago Bulls,127,108,215.0,221.0,-1150,733,11.0,12.5
14,2018-10-10 00:00:00,Washington Wizards,Miami Heat,112,113,212.0,215.0,-260,215,4.0,6.0
15,2018-10-10 00:00:00,Portland Trail Blazers,Los Angeles Lakers,128,119,222.0,224.0,-155,135,2.5,3.0
16,2018-10-10 00:00:00,Orlando Magic,Charlotte Hornets,88,120,217.0,215.5,105,-125,0,1.5
17,2018-10-10 00:00:00,Brooklyn Nets,New York Knicks,107,105,218.5,222.0,-170,148,3.0,4.0
18,2018-10-10 00:00:00,New Orleans Pelicans,Sacramento Kings,149,129,228.0,232.5,-1000,664,10.5,11.5
19,2018-10-10 00:00:00,Toronto Raptors,Boston Celtics,113,101,206.0,209.5,-155,135,3.0,3.0
20,2018-10-10 00:00:00,Minnesota Timberwolves,Cleveland Cavaliers,131,123,223.5,223.0,-425,334,8.0,8.5
21,2018-10-10 00:00:00,Memphis Grizzlies,Atlanta Hawks,131,117,208.5,217.0,-290,237,6.5,7.0
22,2018-10-10 00:00:00,Milwaukee Bucks,Indiana Pacers,118,101,214.5,217.0,-165,144,3.0,3.5
