br_href,date_game,game_start_time,visitor_team_name,visitor_pts,home_team_name,home_pts,overtimes,attendance,playoffs,season_year
/boxscores/201410280NOP.html,2014-10-28,20:00:00,Orlando Magic,84,New Orleans Pelicans,101,,17097,False,2015
/boxscores/201410280SAS.html,2014-10-28,20:00:00,Dallas Mavericks,100,San Antonio Spurs,101,,19615,False,2015
/boxscores/201410280LAL.html,2014-10-28,22:30:00,Houston Rockets,108,Los Angeles Lakers,90,,18997,False,2015
/boxscores/201410290CHO.html,2014-10-29,19:00:00,Milwaukee Bucks,106,Charlotte Hornets,108,OT,19439,False,2015
/boxscores/201410290IND.html,2014-10-29,19:00:00,Philadelphia 76ers,91,Indiana Pacers,103,,18165,False,2015
/boxscores/201410290TOR.html,2014-10-29,19:30:00,Atlanta Hawks,102,Toronto Raptors,109,,19800,False,2015
/boxscores/201410290MIA.html,2014-10-29,19:30:00,Washington Wizards,95,Miami Heat,107,,19744,False,2015
/boxscores/201410290BOS.html,2014-10-29,19:30:00,Brooklyn Nets,105,Boston Celtics,121,,18624,False,2015
/boxscores/201410290NYK.html,2014-10-29,20:00:00,Chicago Bulls,104,New York Knicks,80,,19812,False,2015
/boxscores/201410290MEM.html,2014-10-29,20:00:00,Minnesota Timberwolves,101,Memphis Grizzlies,105,,17731,False,2015
/boxscores/201410290DEN.html,2014-10-29,21:00:00,Detroit Pistons,79,Denver Nuggets,89,,17136,False,2015
/boxscores/201410290UTA.html,2014-10-29,21:00:00,Houston Rockets,104,Utah Jazz,93,,19911,False,2015
/boxscores/201410290PHO.html,2014-10-29,22:00:00,Los Angeles Lakers,99,Phoenix Suns,119,,17523,False,2015
/boxscores/201410290SAC.html,2014-10-29,22:00:00,Golden State Warriors,95,Sacramento Kings,77,,17317,False,2015
/boxscores/201410290POR.html,2014-10-29,22:30:00,Oklahoma City Thunder,89,Portland Trail Blazers,106,,19441,False,2015
/boxscores/201410300ORL.html,2014-10-30,19:00:00,Washington Wizards,105,Orlando Magic,98,,18846,False,2015
/boxscores/201410300CLE.html,2014-10-30,20:00:00,New York Knicks,95,Cleveland Cavaliers,90,,20562,False,2015
/boxscores/201410300MIN.html,2014-10-30,20:00:00,Detroit Pistons,91,Minnesota Timberwolves,97,,18296,False,2015
/boxscores/201410300DAL.html,2014-10-30,20:30:00,Utah Jazz,102,Dallas Mavericks,120,,19697,False,2015
/boxscores/201410300LAC.html,2014-10-30,22:30:00,Oklahoma City Thunder,90,Los Angeles Clippers,93,,19060,False,2015
/boxscores/201410310IND.html,2014-10-31,19:00:00,Memphis Grizzlies,97,Indiana Pacers,89,,14441,False,2015
/boxscores/201410310CHI.html,2014-10-31,20:00:00,Cleveland Cavaliers,114,Chicago Bulls,108,OT,22879,False,2015
/boxscores/201410310MIL.html,2014-10-31,20:30:00,Philadelphia 76ers,81,Milwaukee Bucks,93,,18717,False,2015
/boxscores/201410310PHO.html,2014-10-31,22:00:00,San Antonio Spurs,89,Phoenix Suns,94,,15050,False,2015
/boxscores/201410310SAC.html,2014-10-31,22:00:00,Portland Trail Blazers,94,Sacramento Kings,103,,14648,False,2015
/boxscores/201410310LAL.html,2014-10-31,22:30:00,Los Angeles Clippers,118,Los Angeles Lakers,111,,18997,False,2015
/boxscores/201411010CHO.html,2014-11-01,19:00:00,Memphis Grizzlies,71,Charlotte Hornets,69,,18133,False,2015
/boxscores/201411010NOP.html,2014-11-01,19:00:00,Dallas Mavericks,109,New Orleans Pelicans,104,,14547,False,2015
/boxscores/201411010ORL.html,2014-11-01,19:00:00,Toronto Raptors,108,Orlando Magic,95,,16141,False,2015
/boxscores/201411010PHI.html,2014-11-01,19:00:00,Miami Heat,114,Philadelphia 76ers,96,,19753,False,2015
/boxscores/201411010WAS.html,2014-11-01,19:00:00,Milwaukee Bucks,97,Washington Wizards,108,,17992,False,2015
/boxscores/201411010ATL.html,2014-11-01,19:30:00,Indiana Pacers,92,Atlanta Hawks,102,,19118,False,2015
/boxscores/201411010DET.html,2014-11-01,19:30:00,Brooklyn Nets,102,Detroit Pistons,90,,19904,False,2015
/boxscores/201411010HOU.html,2014-11-01,20:00:00,Boston Celtics,90,Houston Rockets,104,,18309,False,2015
/boxscores/201411010MIN.html,2014-11-01,20:00:00,Chicago Bulls,106,Minnesota Timberwolves,105,,19356,False,2015
/boxscores/201411010OKC.html,2014-11-01,20:00:00,Denver Nuggets,91,Oklahoma City Thunder,102,,18203,False,2015
/boxscores/201411010UTA.html,2014-11-01,21:00:00,Phoenix Suns,91,Utah Jazz,118,,17721,False,2015
/boxscores/201411010GSW.html,2014-11-01,22:30:00,Los Angeles Lakers,104,Golden State Warriors,127,,19596,False,2015
/boxscores/201411020LAC.html,2014-11-02,15:30:00,Sacramento Kings,98,Los Angeles Clippers,92,,19060,False,2015
/boxscores/201411020MIA.html,2014-11-02,18:00:00,Toronto Raptors,102,Miami Heat,107,,19666,False,2015
/boxscores/201411020NYK.html,2014-11-02,19:30:00,Charlotte Hornets,93,New York Knicks,96,,19812,False,2015
/boxscores/201411020POR.html,2014-11-02,21:00:00,Golden State Warriors,95,Portland Trail Blazers,90,,19441,False,2015
/boxscores/201411030PHI.html,2014-11-03,19:00:00,Houston Rockets,104,Philadelphia 76ers,93,,12896,False,2015
/boxscores/201411030BRK.html,2014-11-03,19:30:00,Oklahoma City Thunder,85,Brooklyn Nets,116,,17732,False,2015
/boxscores/201411030MEM.html,2014-11-03,20:00:00,New Orleans Pelicans,81,Memphis Grizzlies,93,,15302,False,2015
/boxscores/201411030DAL.html,2014-11-03,20:30:00,Boston Celtics,113,Dallas Mavericks,118,,19948,False,2015
/boxscores/201411030DEN.html,2014-11-03,21:00:00,Sacramento Kings,110,Denver Nuggets,105,,12516,False,2015
/boxscores/201411030LAC.html,2014-11-03,22:30:00,Utah Jazz,101,Los Angeles Clippers,107,,19060,False,2015
/boxscores/201411040IND.html,2014-11-04,19:00:00,Milwaukee Bucks,87,Indiana Pacers,81,,15012,False,2015
/boxscores/201411040MIA.html,2014-11-04,19:30:00,Houston Rockets,108,Miami Heat,91,,19666,False,2015
/boxscores/201411040NYK.html,2014-11-04,19:30:00,Washington Wizards,98,New York Knicks,83,,19812,False,2015
/boxscores/201411040TOR.html,2014-11-04,19:30:00,Oklahoma City Thunder,88,Toronto Raptors,100,,18877,False,2015
/boxscores/201411040CHI.html,2014-11-04,20:00:00,Orlando Magic,90,Chicago Bulls,98,,21809,False,2015
/boxscores/201411040NOP.html,2014-11-04,20:00:00,Charlotte Hornets,91,New Orleans Pelicans,100,,14840,False,2015
/boxscores/201411040POR.html,2014-11-04,22:00:00,Cleveland Cavaliers,82,Portland Trail Blazers,101,,19441,False,2015
