,,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,TEAM_PTS,this
,,PTS,PTS,PTS,PTS,PTS,PTS,AST,AST,AST,AST,AST,AST,REB,REB,REB,REB,REB,REB,PTS,PTS,PTS,PTS,PTS,PTS,AST,AST,AST,AST,AST,AST,REB,REB,REB,REB,REB,REB,,
,,C1,F1,F2,G1,G2,S1,C1,F1,F2,G1,G2,S1,C1,F1,F2,G1,G2,S1,C1,F1,F2,G1,G2,S1,C1,F1,F2,G1,G2,S1,C1,F1,F2,G1,G2,S1,,HOME
GAME_ID,TEAM_ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21500062.0,1610612751.0,27.371436010936076,13.579711991844018,19.64827167980594,20.808532599346293,12.525369672368802,21.485856387939073,2.6246582476240072,4.771250159296547,3.056397816858702,9.908825047307758,5.845172513772107,1.790488032328256,10.87358416872803,6.239327131387792,11.788963007883565,5.945295028384655,2.5050739344737605,4.028598072738576,25.414342225377826,20.507823479808863,18.87836853605244,29.357495881383855,24.03513909224012,16.776699029126213,3.2133076376914493,5.666635435210344,3.845593590677349,8.599670510708401,5.903367496339678,1.8640776699029125,12.853230550765797,12.14279021830788,9.089584850691915,5.634266886326194,5.903367496339678,3.728155339805825,87.0,0.0
21500062.0,1610612737.0,25.414342225377826,20.507823479808863,18.87836853605244,29.357495881383855,24.03513909224012,16.776699029126213,3.2133076376914493,5.666635435210344,3.845593590677349,8.599670510708401,5.903367496339678,1.8640776699029125,12.853230550765797,12.14279021830788,9.089584850691915,5.634266886326194,5.903367496339678,3.728155339805825,27.371436010936076,13.579711991844018,19.64827167980594,20.808532599346293,12.525369672368802,21.485856387939073,2.6246582476240072,4.771250159296547,3.056397816858702,9.908825047307758,5.845172513772107,1.790488032328256,10.87358416872803,6.239327131387792,11.788963007883565,5.945295028384655,2.5050739344737605,4.028598072738576,101.0,0.0
21500063.0,1610612752.0,20.262232171410297,33.35767342313987,23.739038933707473,10.975973487986744,12.524332159867466,19.80618943419819,3.68404221298369,5.0761676948256325,1.0101718695194668,5.726594863297431,4.174777386622489,4.951547358549547,8.749600255836263,9.789751982878006,16.667835847071203,8.589892294946146,2.3855870780699937,9.002813379180994,16.1609907120743,31.491053677932406,28.336657359393698,23.256496843341655,21.23284865861151,16.881594372801874,1.671826625386997,8.946322067594433,5.360989230155565,7.611217148729995,0.5898013516280975,12.54061296265282,11.702786377708978,11.093439363817097,16.465895492620664,2.959917780061665,2.35920540651239,7.234969016915089,86.0,0.0
21500063.0,1610612739.0,16.1609907120743,31.491053677932406,28.336657359393698,23.256496843341655,21.23284865861151,16.881594372801874,1.671826625386997,8.946322067594433,5.360989230155565,7.611217148729995,0.5898013516280975,12.54061296265282,11.702786377708978,11.093439363817097,16.465895492620664,2.959917780061665,2.35920540651239,7.234969016915089,20.262232171410297,33.35767342313987,23.739038933707473,10.975973487986744,12.524332159867466,19.80618943419819,3.68404221298369,5.0761676948256325,1.0101718695194668,5.726594863297431,4.174777386622489,4.951547358549547,8.749600255836263,9.789751982878006,16.667835847071203,8.589892294946146,2.3855870780699937,9.002813379180994,96.0,0.0
21500064.0,1610612753.0,24.716670585469082,23.74331550802139,24.27071178529755,18.749612483207606,14.384449244060475,24.782268578878746,2.708676228544557,3.2085561497326203,3.733955659276546,5.952257931177018,10.107991360691145,1.5019556714471967,12.866212085586646,6.096256684491979,13.442240373395565,10.11883848300093,6.9978401727861765,14.26857887874837,21.257750221434897,12.028639618138424,23.2201319325678,28.936734017886714,13.434975537603824,17.86192263750612,1.7006200177147919,2.7494033412887826,2.110921084778891,6.67770785028155,8.519740584821937,3.7604047657907618,12.75465013286094,6.186157517899761,6.3327632543366725,7.631666114607485,5.570599613152805,7.0507589358576785,114.0,0.0
21500064.0,1610612745.0,21.257750221434897,12.028639618138424,23.2201319325678,28.936734017886714,13.434975537603824,17.86192263750612,1.7006200177147919,2.7494033412887826,2.110921084778891,6.67770785028155,8.519740584821937,3.7604047657907618,12.75465013286094,6.186157517899761,6.3327632543366725,7.631666114607485,5.570599613152805,7.0507589358576785,24.716670585469082,23.74331550802139,24.27071178529755,18.749612483207606,14.384449244060475,24.782268578878746,2.708676228544557,3.2085561497326203,3.733955659276546,5.952257931177018,10.107991360691145,1.5019556714471967,12.866212085586646,6.096256684491979,13.442240373395565,10.11883848300093,6.9978401727861765,14.26857887874837,119.0,0.0
21500066.0,1610612760.0,9.941942570218107,37.88635861154101,17.540921202893035,40.915815427967594,11.672354948805461,13.550815558343789,1.8076259218578377,2.2286093300906478,2.558051008755234,12.511447692849593,1.8430034129692834,4.065244667503136,9.490036089753648,7.640946274596507,13.886562618956987,10.144417048256427,7.986348122866894,7.227101631116687,25.174115324968277,17.80102222750505,18.11971957576847,27.21531100478469,29.233215115568058,11.363188005523773,0.8120682362892993,2.7386188042315465,1.5531188207801547,11.023923444976077,6.339733398556928,6.249753403038074,16.647398843930635,7.18887436110781,18.637425849361854,6.889952153110048,5.987525987525988,2.840797001380943,98.0,0.0
